match_date,player_id,minutes_played
2022-12-30 21:30:00,Aurélien Tchouaméni_14_RM,10
2022-12-30 21:30:00,Dani Ceballos_19_RM,69
2022-12-30 21:30:00,Federico Valverde_8_RM,87
2022-12-30 21:30:00,Lucas Vázquez_17_RM,37
2022-12-30 21:30:00,Thibaut Courtois_1_RM,97
2022-12-30 21:30:00,Vinicius Júnior_7_RM,88
2022-12-31 14:00:00,Ferrán Torres_7_B,38
2022-12-31 14:00:00,Frenkie de Jong_21_B,82
2022-12-31 14:00:00,Pedri_8_B,100
2022-12-31 14:00:00,Raphinha_11_B,62
2023-01-03 21:00:00,Aurélien Tchouaméni_14_RM,45
2023-01-03 21:00:00,Dani Ceballos_19_RM,90
2023-01-03 21:00:00,Federico Valverde_8_RM,45
2023-01-03 21:00:00,Lucas Vázquez_17_RM,90
2023-01-04 21:00:00,Eric García_24_B,61
2023-01-04 21:00:00,Ferrán Torres_7_B,60
2023-01-04 21:00:00,Raphinha_11_B,60
2023-01-07 16:15:00,Aurélien Tchouaméni_14_RM,64
2023-01-07 16:15:00,Federico Valverde_8_RM,82
2023-01-07 16:15:00,Lucas Vázquez_17_RM,34
2023-01-07 16:15:00,Thibaut Courtois_1_RM,98
2023-01-07 16:15:00,Vinicius Júnior_7_RM,98
2023-01-08 21:00:00,Ferrán Torres_7_B,40
2023-01-08 21:00:00,Frenkie de Jong_21_B,59
2023-01-08 21:00:00,Pedri_8_B,98
2023-01-08 21:00:00,Raphinha_11_B,24
2023-01-19 20:00:00,Eric García_24_B,90
2023-01-19 20:00:00,Ferrán Torres_7_B,59
2023-01-19 20:00:00,Raphinha_11_B,79
2023-01-19 21:00:00,Dani Ceballos_19_RM,35
2023-01-19 21:00:00,Federico Valverde_8_RM,90
2023-01-19 21:00:00,Thibaut Courtois_1_RM,90
2023-01-19 21:00:00,Vinicius Júnior_7_RM,90
2023-01-22 18:30:00,Eric García_24_B,47
2023-01-22 18:30:00,Pedri_8_B,93
2023-01-22 18:30:00,Raphinha_11_B,62
2023-01-22 21:00:00,Dani Ceballos_19_RM,85
2023-01-22 21:00:00,Federico Valverde_8_RM,92
2023-01-22 21:00:00,Thibaut Courtois_1_RM,92
2023-01-22 21:00:00,Vinicius Júnior_7_RM,83
2023-01-25 21:00:00,Frenkie de Jong_21_B,90
2023-01-25 21:00:00,Pedri_8_B,76
2023-01-25 21:00:00,Raphinha_11_B,13
2023-01-26 21:00:00,Dani Ceballos_19_RM,77
2023-01-26 21:00:00,Federico Valverde_8_RM,68
2023-01-26 21:00:00,Thibaut Courtois_1_RM,120
2023-01-26 21:00:00,Vinicius Júnior_7_RM,120
2023-01-28 16:15:00,Eric García_24_B,99
2023-01-28 16:15:00,Frenkie de Jong_21_B,99
